,transaction_id,customer_id,product_name,product_category,price,quantity,transaction_date,payment_status,total_amount
0,50001,1861,Traditional Thobe,Clothing,956.09,2,2024-12-20T00:00:00,failed,1912.18
1,50002,4773,Vacuum Cleaner,Home,1735.78,3,2024-08-29 00:00:00,N/A,5207.34
2,50003,4093,Programming Guide,Books,326.26,2,06/03/2024,,978.78
3,50004,1467,Programming Guide,Books,522.83,4,2024-06-20 00:00:00,Complete,2091.32
4,50005,5427,Samsung Galaxy,Electronics,503.02,2,08/12/2024,failed,1006.04
5,50006,4445,Dell Laptop,Electronics,775.61,3,32/15/2024,completed,2326.83
6,50007,4172,Dell Laptop,Electronics,626.16,1,2024-03-19,Unknown,626.16
7,50008,3920,I-Phone 15,Electronics,,3,2023-08-05,,751.5
8,50009,1131,Tennis Racket,Sports,801.23,3,2023-04-04 00:00:00,FAILED,2403.69
9,50010,2686,Smart Watch,Electronics,911.3,3,,pending,2733.8999999999996
10,50011,1770,Programming Guide,Books,964.87,1,2023-02-12 00:00:00,Cancelled,964.87
11,50012,3392,Gym Equipment,Sports,726.79,6,2024-08-11T00:00:00,,4360.74
12,50013,3434,Smart Watch,Electronics,748.98,3,2023-07-03 00:00:00,Paid,2246.94
13,50014,2185,Traditional Thobe,Clothing,766.81,2,2023-03-08 00:00:00,Paid,1533.62
14,50015,5556,Casual Shirt,Clothing,1093.53,2,2023-11-08T00:00:00,COMPLETED,2187.06
15,50016,4386,Sneakers,Clothing,245.21,2,2024-08-09,Completed,490.42
16,50017,5118,Coffee Maker,Home,714.33,2,2023-09-23 00:00:00,COMPLETED,1428.66
17,50018,5844,Casual Shirt,Clothing,80.98,3,13/12/2024,PENDING,242.94
18,50019,3905,Running Shoes,Sports,202.77,4,2023-11-08 00:00:00,PENDING,811.08
19,50020,1475,Leather Jacket,Clothing,1136.11,3,2023-07-11T00:00:00,Complete,5112.495
20,50021,2083,Tennis Racket,Sports,648.33,2,17/06/2023,failed,1296.66
21,50022,3559,Dining Set,Home,294.38,2,29/12/2023,Failed,588.76
22,50023,3048,Designer Dress,Clothing,319.39,2,2024-06-28T00:00:00,N/A,638.78
23,50024,3748,Samsung Galaxy,Electronics,314.67,1,2023-04-26,Complete,314.67
24,50025,1976,Programming Guide,Books,1357.14,2,2024-10-19,Processing,2714.28
25,50026,2807,Running Shoes,Sports,794.22,2,2023-07-23T00:00:00,Cancelled,1588.44
26,50027,1190,iPhone 15,Electronics,1153.91,4,2023-03-12,Failed,4615.64
27,50028,3735,Vacuum Cleaner,Home,1152.22,4,2024-05-01T00:00:00,Cancelled,4608.88
28,50029,4006,Sneakers,Clothing,256.34,5,2023-10-08 00:00:00,PENDING,1281.6999999999998
29,50030,5659,Programming Guide,Books,598.57,3,invalid_date,COMPLETED,1795.71
30,50031,2900,MacBook Pro,Electronics,339.4,2,2023-10-02,,678.8
31,50032,2268,Arabic Literature,Books,688.43,2,2024-10-27,Complete,1376.86
32,50033,2529,Sneakers,,947.2,3,2024-04-22 00:00:00,Complete,2841.6000000000004
33,50034,4203,Tennis Racket,Sports,1470.98,3,2024-10-01 00:00:00,Complete,4412.9400000000005
34,50035,4557,Yoga Mat,Sports,116.0,2,2023-02-10 00:00:00,Complete,232.0
35,50036,4891,iPhone 15,Electronics,839.16,3,2024-01-07T00:00:00,Paid,2517.48
36,50037,1647,Traditional Thobe,Clothing,1074.01,2,2023-06-30,N/A,2148.02
37,50038,3889,Yoga Mat,Sports,871.75,3,2023-07-27 00:00:00,Cancelled,2615.25
38,50039,3436,Refrigerator,Home,472.71,5,32/15/2024,Refunded,2363.5499999999997
